,unit_name,furnish_status,num_rooms,num_bathroom,elec_power,location,longitude,latitude,size,room_type,property_type,building,tower,floor_num,room_facility,kitchen_facility,building_facility,clean_rating,location_rating,satisfaction_rating,checkin/out_rating,economic_rating,staff_rating,total_rating,monthly_price
1045,Comfortable 2BR Apartment at Kebagusan City By Travelio - Jakarta,Full Furnished,3,1.0,2300.0,"Jl. Baung, Jagakarsa, Jakarta Selatan, DKI Jakarta, 12520",106.83596312999725,-6.306015678701854,35.46,Seluruh Rumah / Apartemen,Apartemen,Apartemen Kebagusan City,C,12.0,"Queen Bed (160x200),Pillow,Mirror,Wardrobe,Air Conditioner,Curtain,Hanger,Vanity Desk,AC Remote,Chair,Bed Config :,1 Queen Bed (160x200)","Trundle Bed (Single Bed & Single Underbed),Pillow,Wardrobe,Fan,Hanger,Bed Config :,1 Trundle Bed (Single Bed & Single Underbed)","24-Hour Security,ATM On Site,Access Card,CCTV Public Area,Cafe,Elevator,Laundry (Charge),Playground,Restaurant,Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5224936.0
1046,Comfort Living 2BR at Kebagusan City Apartment By Travelio - Jakarta,Full Furnished,2,1.0,2200.0,"Jl. Baung, Jagakarsa, Jakarta Selatan, DKI Jakarta, 12520",106.83596312999725,-6.306015678701854,36.69,Seluruh Rumah / Apartemen,Apartemen,Apartemen Kebagusan City,B/Royal,2.0,"Queen Bed (160x200),Pillow,Mirror,Wardrobe,Air Conditioner,Curtain,Hanger,Vanity Desk,AC Remote,Chair,Shelf Decor,Bed Config :,1 Queen Bed (160x200)","Single Bed (100x200),Pillow,Wardrobe,Hanger,Exhaust Fan,Bed Config :,1 Single Bed (100x200)","24-Hour Security,ATM On Site,Access Card,CCTV Public Area,Cafe,Elevator,Laundry (Charge),Playground,Restaurant,Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5218757.0
1047,Warm and Cozy Stay 2BR at Kebagusan City Apartment By Travelio - Jakarta,Full Furnished,2,1.0,2200.0,"Jl. Baung, Jagakarsa, Jakarta Selatan, DKI Jakarta, 12520",106.83596312999725,-6.306015678701854,36.69,Seluruh Rumah / Apartemen,Apartemen,Apartemen Kebagusan City,Royal,20.0,"Queen Bed (160x200),Pillow,Mirror,Wardrobe,Air Conditioner,Blackout Curtain,Side Table,Hanger,AC Remote,Bed Config :,1 Queen Bed (160x200)","Single Bed (90x200),Pillow,Fan,Side Table,Bed Config :,1 Single Bed (90x200)","24-Hour Security,ATM On Site,Access Card,CCTV Public Area,Cafe,Elevator,Laundry (Charge),Playground,Restaurant,Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4968757.0
1048,Comfy and Nice 1BR at Belmont Residence Puri Apartment By Travelio - Jakarta,Full Furnished,1,1.0,1300.0,"Jl. Kebon Jeruk Indah Utama, RT.8/RW.7, Srengseng, Kembangan, Jakarta Barat, DKI Jakarta, 11630",106.76275759935379,-6.200400178473442,32.55,Seluruh Rumah / Apartemen,Apartemen,Apartemen Belmont Residence Puri,Everest,11.0,"King Bed (180x200),Wardrobe,Air Conditioner,Curtain,Pillow,Mirror,Hanger,AC Remote,Bed Config :,1 King Bed (180x200)","Sofa,TV 32"",Curtain,Air Conditioner,AC Remote,Remote TV,Dining Chair,Dining Table,Cable TV","24-Hour Security,24-Hours Frontdesk,ATM On Site,Access Card,CCTV In Public Area,Cafe,Coffee Shop,Elevator,Laundry (Charge),Restaurant,Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5125918.0
1049,Cozy and Relax 2BR Green Pramuka City Apartment By Travelio - Jakarta,Full Furnished,2,1.0,2200.0,"Jl. A. Yani No.32, RT.16/RW.9, Rawasari, Cempaka Putih, Jakarta Pusat, DKI Jakarta, 10570",106.87484,-6.188552,33.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Green Pramuka City,Orchid,23.0,"Queen Bed (160x200),Pillow,Mirror,Wardrobe,Air Conditioner,Curtain,Hanger,AC Remote,Bed Config :,1 Queen Bed (160x200)","Single Bed (100x200),Pillow,Wardrobe,Hanger,Exhaust Fan,Desk,Chair,Bed Config :,1 Single Bed (100x200)","24-Hour Security,ATM On Site,Access Card,CCTV In Public Area,Elevator,Jogging Track,Laundry (Charge),Playground,Restaurant,Supermarket,Swimming Pool",4.9,4.9,4.9,4.9,4.9,4.9,4.9,4971279.0
1050,Comfortable 2BR Green Pramuka City Apartment near Shopping Mall By Travelio - Jakarta,Full Furnished,2,1.0,2200.0,"Jl. A. Yani No.32, RT.16/RW.9, Rawasari, Cempaka Putih, Jakarta Pusat, DKI Jakarta, 10570",106.87484,-6.188552,33.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Green Pramuka City,Orchid,8.0,"Queen Bed (160x200),Pillow,Mirror,Wardrobe,Air Conditioner,Curtain,Hanger,AC Remote,Bed Config :,1 Queen Bed (160x200)","Single Bed (100x200),Pillow,Hanger,Exhaust Fan,Stand Hanger,Bed Config :,1 Single Bed (100x200)","24-Hour Security,ATM On Site,Access Card,CCTV In Public Area,Elevator,Jogging Track,Laundry (Charge),Playground,Restaurant,Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4821279.0
1051,Warm and Cozy 2BR Green Pramuka City Apartment near Shopping Area By Travelio - Jakarta,Full Furnished,2,1.0,1300.0,"Jl. A. Yani No.32, RT.16/RW.9, Rawasari, Cempaka Putih, Jakarta Pusat, DKI Jakarta, 10570",106.87484,-6.188552,33.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Green Pramuka City,BG,7.0,"Queen Bed (160x200),Pillow,Mirror,Wardrobe,Air Conditioner,Curtain,TV,Hanger,Vanity Desk,AC Remote,Remote TV,Antena Building,Chair,Bed Config :,1 Queen Bed (160x200)","Single Bed (90x200),Pillow,Wardrobe,Hanger,Exhaust Fan,Vanity Desk,Mirror,Chair,Bed Config :,1 Single Bed (90x200)","24-Hour Security,ATM On Site,Access Card,CCTV In Public Area,Elevator,Jogging Track,Laundry (Charge),Playground,Restaurant,Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4821279.0
1052,Nice and Cozy 2BR Green Pramuka City Apartment By Travelio - Jakarta,Full Furnished,2,1.0,2200.0,"Jl. A. Yani No.32, RT.16/RW.9, Rawasari, Cempaka Putih, Jakarta Pusat, DKI Jakarta, 10570",106.87484,-6.188552,28.25,Seluruh Rumah / Apartemen,Apartemen,Apartemen Green Pramuka City,Bougenville,20.0,"Queen Bed (160x200),Pillow,Mirror,Wardrobe,Air Conditioner,Curtain,Hanger,Vanity Desk,AC Remote,Chair,Bed Config :,1 Queen Bed (160x200)","Single Bed (90x200),Pillow,Wardrobe,Blackout Curtain,Hanger,Exhaust Fan,Bed Config :,1 Single Bed (90x200)","24-Hour Security,ATM On Site,Access Card,CCTV In Public Area,Elevator,Jogging Track,Laundry (Charge),Playground,Restaurant,Supermarket,Swimming Pool",4.9,4.9,4.9,4.9,4.9,4.9,4.9,4821279.0
1053,Comfort 2BR Apartment at Green Pramuka City By Travelio - Jakarta,Full Furnished,2,1.0,1300.0,"Jl. A. Yani No.32, RT.16/RW.9, Rawasari, Cempaka Putih, Jakarta Pusat, DKI Jakarta, 10570",106.87484,-6.188552,33.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Green Pramuka City,Orchid,18.0,"Queen Bed (160x200),Pillow,Wardrobe,Air Conditioner,Blackout Curtain,Hanger,Vanity Desk,AC Remote,Chair,Bed Config :,1 Queen Bed (160x200)","Single Bed (100x200),Pillow,Wardrobe,Fan,Exhaust Fan,Vanity Desk,Chair,Bed Config :,1 Single Bed (100x200)","24-Hour Security,ATM On Site,Access Card,CCTV In Public Area,Elevator,Jogging Track,Laundry (Charge),Playground,Restaurant,Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4821279.0
1054,Comfy and Simply 2BR Apartment at Mediterania Palace Residence By Travelio - Jakarta,Full Furnished,3,1.0,2200.0,"Jl. Landas Pacu Selatan Blok A1 No.2, Kemayoran, Jakarta Pusat, DKI Jakarta, 10630",106.85285568237305,-6.154800743061015,41.82,Seluruh Rumah / Apartemen,Apartemen,Apartemen Mediterania Palace Residences,B,,"Queen Bed (160x200),Pillow,Mirror,Wardrobe,Air Conditioner,Blackout Curtain,Hanger,Vanity Desk,AC Remote,Bed Config :,1 Queen Bed (160x200)","Trundle Bed (Single Bed & Single Underbed),Pillow,Wardrobe,Air Conditioner,Blackout Curtain,Hanger,AC Remote,Chair,Vanity Desk,Bed Config :,1 Trundle Bed (Single Bed & Single Underbed)","ATM On Site,Fitness Center,Laundry (Charge),Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4992410.0
1055,Best Deal and Cozy Signature Park Tebet Studio Apartment By Travelio - Jakarta,Full Furnished,1,1.0,2200.0,"Jl. Letjen M.T. Haryono No.kav. 22-23, RT.10/RW.9, Tebet Timur, Tebet, Jakarta Selatan, DKI Jakarta, 12820",106.85457229614258,-6.242609475744002,19.45,Seluruh Rumah / Apartemen,Apartemen,Apartemen Signature Park Tebet,TA,25.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,TV,Pillow,Hanger,AC Remote,Remote TV,Dining Table,Dining Chair,Cable TV,TV Cabinet,Bed Config :,1 Queen Bed (160x200)","Electric Stove,Refrigerator,Rice Cooker,Glass Wiper,Microwave,Bowl,Plate,Fork,Mug,Kitchen Cabinet,Electric Kettle,Water Dispenser,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Induction Frying Pan,Induction Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor","24-Hour Security,ATM On Site,Access Card,CCTV In Public Area,Cafe,Elevator,Fitness Center,Jogging Track,Laundry (Charge),Playground,Restaurant,Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4928520.0
1056,Comfy and Nice 2BR at Green Palace Kalibata Apartment By Travelio - Jakarta,Full Furnished,2,1.0,1300.0,"Jl. Raya Kalibata No.09/04, RT.1 Rt/RW.4, Rawajati, Pancoran, Jakarta Selatan, DKI Jakarta, 12750",106.85046046972275,-6.256900672828798,29.92,Seluruh Rumah / Apartemen,Apartemen,Apartemen Green Palace Kalibata,V,19.0,"Queen Bed (160x200),Pillow,Mirror,Wardrobe,Air Conditioner,Blackout Curtain,Side Table,Hanger,AC Remote,Bed Config :,1 Queen Bed (160x200)","Super Single Bed (120x200),Pillow,Wardrobe,Exhaust Fan,Shelf Decor,Bed Config :,1 Super Single Bed (120x200)","ATM On Site,Access Card,Cafe,Elevator,Laundry (Charge),Playground,Restaurant,Shops",4.5,4.5,4.5,4.5,4.5,4.5,4.5,4977895.0
1057,Comfy 2BR Apartment at Green Palace Kalibata By Travelio - Jakarta,Full Furnished,3,1.0,1300.0,"Jl. Raya Kalibata No.09/04, RT.1 Rt/RW.4, Rawajati, Pancoran, Jakarta Selatan, DKI Jakarta, 12750",106.85046046972275,-6.256900672828798,29.92,Seluruh Rumah / Apartemen,Apartemen,Apartemen Green Palace Kalibata,M,17.0,"Queen Bed (160x200),Pillow,Mirror,Wardrobe,Air Conditioner,Blackout Curtain,Hanger,Vanity Desk,AC Remote,Bed Config :,1 Queen Bed (160x200)","Trundle Bed (Single Bed & Single Underbed),Pillow,Wardrobe,Hanger,Exhaust Fan,Bed Config :,1 Trundle Bed (Single Bed & Single Underbed)","ATM On Site,Access Card,Cafe,Elevator,Laundry (Charge),Playground,Restaurant,Shops",,,,,,,,4997895.0
1058,Minimalist and Homey 1BR at Belmont Residence Puri Apartment By Travelio - Jakarta,Full Furnished,1,1.0,1300.0,"Jl. Kebon Jeruk Indah Utama, RT.8/RW.7, Srengseng, Kembangan, Jakarta Barat, DKI Jakarta, 11630",106.76275759935379,-6.200400178473442,32.1,Seluruh Rumah / Apartemen,Apartemen,Apartemen Belmont Residence Puri,Athena,15.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Curtain,Pillow,Side Table,Mirror,Hanger,Vanity Desk,AC Remote,TV 32"",Chair,Bed Config :,1 Queen Bed (160x200)","Sofa,TV 32"",Curtain,Air Conditioner,AC Remote,Remote TV,Dining Chair,Dining Table,TV Cabinet,Antena Building","24-Hour Security,24-Hours Frontdesk,ATM On Site,Access Card,CCTV In Public Area,Cafe,Coffee Shop,Elevator,Laundry (Charge),Restaurant,Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4937406.0
1059,Modern and Simply 2BR at Green Pramuka City Apartment By Travelio - Jakarta,Full Furnished,3,1.0,2200.0,"Jl. A. Yani No.32, RT.16/RW.9, Rawasari, Cempaka Putih, Jakarta Pusat, DKI Jakarta, 10570",106.87484,-6.188552,33.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Green Pramuka City,Faggio,21.0,"Queen Bed (160x200),Pillow,Mirror,Wardrobe,Air Conditioner,Blackout Curtain,Hanger,Vanity Desk,AC Remote,Chair,Bed Config :,1 Queen Bed (160x200)","Trundle Bed (Single Bed & Single Underbed),Pillow,Wardrobe,Hanger,Exhaust Fan,Bed Config :,1 Trundle Bed (Single Bed & Single Underbed)","24-Hour Security,ATM On Site,Access Card,CCTV In Public Area,Elevator,Jogging Track,Laundry (Charge),Playground,Restaurant,Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4854662.0
1060,2BR for 3 Pax Mediterania Marina Ancol Apartment By Travelio - Jakarta,Full Furnished,2,1.0,2200.0,"Jl. Lodan Raya No.3, RT.8/RW.11, Ancol, Pademangan, Jakarta Utara, DKI Jakarta, 14430",106.82945273816586,-6.128900985910797,43.9,Seluruh Rumah / Apartemen,Apartemen,Apartemen Marina Ancol,C,7.0,"Bowl,Chopping Board,Cooking Knife,Dustbin,Fork,Frying Pan,Gas Stove,Kettle (Siul),Plate,Refrigerator,Spatula,Tablespoon","Air Conditioner,TV,Sofa Bed,Complimentary Bottled Water","24-Hour Security,Access Card,CCTV In Public Area,Elevator,Fitness Center,Laundry (Charge),Shops,Swimming Pool",4.9,4.9,4.9,4.9,4.9,4.9,4.9,4988360.0
1061,Great Deal 2BR Apartment at Mediterania Palace Residences By Travelio - Jakarta,Full Furnished,2,1.0,2200.0,"Jl. Landas Pacu Selatan Blok A1 No.2, Kemayoran, Jakarta Pusat, DKI Jakarta, 10630",106.85285568237305,-6.154800743061015,33.13,Seluruh Rumah / Apartemen,Apartemen,Apartemen Mediterania Palace Residences,A,15.0,"Queen Bed (160x200),Pillow,Wardrobe,Air Conditioner,Curtain,Hanger,AC Remote,Bed Config :,1 Queen Bed (160x200)","Super Single Bed (120x200),Pillow,Air Conditioner,Curtain,AC Remote,Bed Config :,1 Super Single Bed (120x200)","ATM On Site,Fitness Center,Laundry (Charge),Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4988871.0
1062,Easy Access to Mall 2BR Green Pramuka City Apartment By Travelio - Jakarta,Full Furnished,2,1.0,2200.0,"Jl. A. Yani No.32, RT.16/RW.9, Rawasari, Cempaka Putih, Jakarta Pusat, DKI Jakarta, 10570",106.87484,-6.188552,28.25,Seluruh Rumah / Apartemen,Apartemen,Apartemen Green Pramuka City,Bougenville,26.0,Portable,"Air Conditioner,TV,Complimentary Bottled Water,Sofa Bed (Double)","24-Hour Security,ATM On Site,Access Card,CCTV In Public Area,Elevator,Jogging Track,Laundry (Charge),Playground,Restaurant,Supermarket,Swimming Pool",4.9,4.9,4.9,4.9,4.9,4.9,4.9,4995386.0
1063,2BR Apartment In Heart Of City Menteng Square By Travelio - Jakarta,Full Furnished,2,1.0,2200.0,"Jl. Pramuka Barat, RT.5/RW.6, Kenari, Senen, Jakarta Pusat, DKI Jakarta, 10430",106.85228705406189,-6.20023485429095,34.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Menteng Square,C,15.0,"Bowl,Chopping Board,Dining Chair,Dining Table,Dustbin,Fork,Frying Pan,Gas Stove,Kettle (Siul),Plate,Refrigerator,Spatula,Tablespoon","TV,Sofa,Complimentary Bottled Water","24-Hour Security,ATM On Site,Access Card,CCTV Public Area,Cafe,Elevator,Laundry (Charge),Playground,Restaurant,Supermarket,Swimming Pool",4.6,4.6,4.6,4.6,4.6,4.6,4.6,5000602.0
1064,Nice and Comfort Studio at Sedayu City Suites Kelapa Gading Apartment By Travelio - Jakarta,Full Furnished,1,1.0,2200.0,"Jl. Sedayu Boulevard Raya, Rawa Terate, Cakung, RT.3/RW.4, Jakarta Timur, DKI Jakarta, 13920",106.92190647125244,-6.168523652806302,31.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Sedayu City Suites Kelapa Gading,SM,9.0,"King Bed (180x200),Wardrobe,Air Conditioner,Blackout Curtain,TV,Pillow,Hanger,AC Remote,Remote TV,Cable TV,Mirror,Vanity Desk,Bed Config :,1 King Bed (180x200)","Gas Stove (Not Portable),Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor,Washing Machine","24-Hour Security,Elevator,Fitness Center,Playground,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4955929.0
1065,Modern Cozy 2BR Oak Tower Apartment By Travelio - Jakarta,Full Furnished,2,1.0,1300.0,"Jl. Perintis Kemerdekaan No.99, RT.1/RW.8, Pulo Gadung, Pulo Gadung, Jakarta Timur, DKI Jakarta, 13260",106.90510109066963,-6.180912900494636,42.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Oak Tower,A,11.0,"Queen Bed (160x200),Pillow,Wardrobe,Air Conditioner,Curtain,Hanger,AC Remote,Bed Config :,1 Queen Bed (160x200)","Single Bed (100x200),Pillow,Fan,Bed Config :,1 Single Bed (100x200)","24-Hour Security,24-Hours Frontdesk,ATM On Site,Access Card,CCTV In Public Area,Cafe,Coffee Shop,Elevator,Fitness Center,Jogging Track,Laundry (Charge),Restaurant,Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5303750.0
1066,Homey and Warm 2BR Apartment Mediterania Palace Residence By Travelio - Jakarta,Full Furnished,3,1.0,2200.0,"Jl. Landas Pacu Selatan Blok A1 No.2, Kemayoran, Jakarta Pusat, DKI Jakarta, 10630",106.85285568237305,-6.154800743061015,36.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Mediterania Palace Residences,C,27.0,"Queen Bed (160x200),Pillow,Wardrobe,Hanger,Curtain,Air Conditioner,Blanket,Bed Config :,1 Queen (160x200)","Trundle Bed (Super Single & Single Underbed),Pillow,Wardrobe,Hanger,Curtain,Air Conditioner,Blanket,Bed Config :,1 Single (100x200),1 Single (Underbed)","ATM On Site,Fitness Center,Laundry (Charge),Swimming Pool",4.9,4.9,4.9,4.9,4.9,4.9,4.9,5372327.0
1067,Monochrome Style 2BR Green Palace Kalibata Apartment By Travelio - Jakarta,Full Furnished,2,1.0,2200.0,"Jl. Raya Kalibata No.09/04, RT.1 Rt/RW.4, Rawajati, Pancoran, Jakarta Selatan, DKI Jakarta, 12750",106.85046046972275,-6.256900672828798,29.25,Seluruh Rumah / Apartemen,Apartemen,Apartemen Green Palace Kalibata,Mawar,18.0,Portable,"Air Conditioner,TV,Sofa,Complimentary Bottled Water","ATM On Site,Access Card,Cafe,Elevator,Laundry (Charge),Playground,Restaurant,Shops",4.9,4.9,4.9,4.9,4.9,4.9,4.9,4852499.0
1068,Minimalist and Comfort Studio at Green Sedayu Apartment By Travelio - Jakarta,Full Furnished,1,1.0,2200.0,"Jl. Kamal Raya Outer Ring Road, Gerbang Utama Taman Palem Lestari, RT.13/RW.10, Cengkareng Tim., Cengkareng, Jakarta Barat, DKI Jakarta, 11730",106.72831267118454,-6.138466658464273,28.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Green Sedayu,Pasadena,9.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Curtain,TV,Pillow,Hanger,AC Remote,Remote TV,Antena Building,Dining Chair,Dining Table,Bed Config :,1 Queen Bed (160x200)","Gas Stove,Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Water Dispenser (Empty),Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor,Washing Machine,Gallon,Telephone","24-Hour Security,Access Card,CCTV In Public Area,Cafe,Elevator,Fitness Center,Mall Access,Playground,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4958000.0
1069,Fully Furnished and Cozy Studio at Green Sedayu Apartment By Travelio - Jakarta,Full Furnished,1,1.0,3500.0,"Jl. Kamal Raya Outer Ring Road, Gerbang Utama Taman Palem Lestari, RT.13/RW.10, Cengkareng Tim., Cengkareng, Jakarta Barat, DKI Jakarta, 11730",106.72831267118454,-6.138466658464273,28.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Green Sedayu,PASADENA,23.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Blackout Curtain,Smart TV,Pillow,Hanger,AC Remote,Remote TV,Cable TV,Mirror,Side Table,Sofa,Dining Chair,Bed Config :,1 Queen Bed (160x200)","Gas Stove (2 Furnace),Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor,Washing Machine","24-Hour Security,Access Card,CCTV In Public Area,Cafe,Elevator,Fitness Center,Mall Access,Playground,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5618000.0
1070,Modern Look and Comfortable Studio at Green Sedayu Apartment By Travelio - Jakarta,Full Furnished,1,1.0,1300.0,"Jl. Kamal Raya Outer Ring Road, Gerbang Utama Taman Palem Lestari, RT.13/RW.10, Cengkareng Tim., Cengkareng, Jakarta Barat, DKI Jakarta, 11730",106.72831267118454,-6.138466658464273,28.0,Seluruh Rumah / Apartemen,Apartemen,Apartemen Green Sedayu,PASADENA,19.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Blackout Curtain,TV,Pillow,Hanger,AC Remote,Remote TV,Antena Building,Dining Chair,Dining Table,TV Cabinet,Chair,Desk,Plant Display,Clock,Bed Config :,1 Queen Bed (160x200)","Gas Stove (2 Furnace),Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Electric Kettle,Water Dispenser (Empty),Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor,Washing Machine","24-Hour Security,Access Card,CCTV In Public Area,Cafe,Elevator,Fitness Center,Mall Access,Playground,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,4958000.0
1071,Comfort Studio at Signature Park Tebet Apartment By Travelio - Jakarta,Full Furnished,1,1.0,2200.0,"Jl. Letjen M.T. Haryono No.kav. 22-23, RT.10/RW.9, Tebet Timur, Tebet, Jakarta Selatan, DKI Jakarta, 12820",106.85457229614258,-6.242609475744002,19.5,Seluruh Rumah / Apartemen,Apartemen,Apartemen Signature Park Tebet,B,16.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Blackout Curtain,TV 32"",Pillow,Hanger,AC Remote,Remote TV,Cable TV,Mirror,Vanity Desk,Chair,Bed Config :,1 Queen Bed (160x200)","Gas Stove,Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Kettle (Siul),Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Kitchen Scissor","24-Hour Security,ATM On Site,Access Card,CCTV In Public Area,Cafe,Elevator,Fitness Center,Jogging Track,Laundry (Charge),Playground,Restaurant,Supermarket,Swimming Pool",,,,,,,,4959206.0
1072,Relaxing Studio Signature Park Tebet Apartment By Travelio - Jakarta,Full Furnished,1,1.0,2200.0,"Jl. Letjen M.T. Haryono No.kav. 22-23, RT.10/RW.9, Tebet Timur, Tebet, Jakarta Selatan, DKI Jakarta, 12820",106.85457229614258,-6.242609475744002,19.5,Seluruh Rumah / Apartemen,Apartemen,Apartemen Signature Park Tebet,B,25.0,"Queen Bed (160x200),Wardrobe,Air Conditioner,Blackout Curtain,TV,Fixline,Pillow,Hanger,AC Remote,Remote TV,Cable TV,Mirror,Side Table,Dining Table,Chair,Bed Config :,1 Queen Bed (160x200)","Electric Stove,Refrigerator,Rice Cooker,Glass Wiper,Fork,Plate,Mug,Bowl,Kitchen Cabinet,Kettle (Siul),Water Dispenser,Dustbin,Tablespoon,Chopping Board,Cooking Knife,Frying Pan,Sauce Pan,Spatula,Ladle Soup,Gallon","24-Hour Security,ATM On Site,Access Card,CCTV In Public Area,Cafe,Elevator,Fitness Center,Jogging Track,Laundry (Charge),Playground,Restaurant,Supermarket,Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5351515.0
1073,Homey and Comfort Living 2BR at Mediterania Palace Apartment By Travelio - Jakarta,Full Furnished,3,1.0,2200.0,"Jl. Landas Pacu Selatan Blok A1 No.2, Kemayoran, Jakarta Pusat, DKI Jakarta, 10630",106.85285568237305,-6.154800743061015,33.01,Seluruh Rumah / Apartemen,Apartemen,Apartemen Mediterania Palace Residences,C,10.0,"Queen Bed (160x200),Pillow,Mirror,Wardrobe,Air Conditioner,Curtain,Hanger,Vanity Desk,AC Remote,Chair,Bed Config :,1 Queen Bed (160x200)","Trundle Bed (Single Bed & Single Underbed),Pillow,Air Conditioner,Curtain,AC Remote,Bed Config :,1 Trundle Bed (Single Bed & Single Underbed)","ATM On Site,Fitness Center,Laundry (Charge),Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5328695.0
1074,Comfy 2BR Apartment at Mediterania Palace Residence By Travelio - Jakarta,Full Furnished,4,1.0,2300.0,"Jl. Landas Pacu Selatan Blok A1 No.2, Kemayoran, Jakarta Pusat, DKI Jakarta, 10630",106.85285568237305,-6.154800743061015,33.01,Seluruh Rumah / Apartemen,Apartemen,Apartemen Mediterania Palace Residences,B,27.0,"Trundle Bed (Super Single & Single Underbed),Pillow,Mirror,Wardrobe,Air Conditioner,Curtain,Hanger,Vanity Desk,AC Remote,Chair,Bed Config :,1 Trundle Bed (Super Single & Single Underbed)","Trundle Bed (Single Bed & Single Underbed),Pillow,Air Conditioner,Curtain,AC Remote,Bed Config :,1 Trundle Bed (Single Bed & Single Underbed)","ATM On Site,Fitness Center,Laundry (Charge),Swimming Pool",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5048695.0
